_id,Year,Month,Month_name,Day_of_week,Day_type,Mode,Pax_daily
1,2018,1,Jan,Friday,School Holiday Weekday,MetroBus,268350
2,2018,1,Jan,Friday,School Holiday Weekday,MetroTrain,570700
3,2018,1,Jan,Friday,School Holiday Weekday,RegionalBus,21550
4,2018,1,Jan,Friday,School Holiday Weekday,RegionalTrain,43700
5,2018,1,Jan,Friday,School Holiday Weekday,Tram,529250
6,2018,1,Jan,Monday,Normal Weekday,MetroBus,308450
7,2018,1,Jan,Monday,Normal Weekday,MetroTrain,638350
8,2018,1,Jan,Monday,Normal Weekday,RegionalBus,22600
9,2018,1,Jan,Monday,Normal Weekday,RegionalTrain,47700
10,2018,1,Jan,Monday,Normal Weekday,Tram,534800
11,2018,1,Jan,Monday,School Holiday Weekday,MetroBus,298500
12,2018,1,Jan,Monday,School Holiday Weekday,MetroTrain,636150
13,2018,1,Jan,Monday,School Holiday Weekday,RegionalBus,23150
14,2018,1,Jan,Monday,School Holiday Weekday,RegionalTrain,49650
15,2018,1,Jan,Monday,School Holiday Weekday,Tram,562150
16,2018,1,Jan,Saturday,Weekend,MetroBus,154100
17,2018,1,Jan,Saturday,Weekend,MetroTrain,333700
18,2018,1,Jan,Saturday,Weekend,RegionalBus,13100
19,2018,1,Jan,Saturday,Weekend,RegionalTrain,20600
20,2018,1,Jan,Saturday,Weekend,Tram,393050
21,2018,1,Jan,Sunday,Weekend,MetroBus,105100
22,2018,1,Jan,Sunday,Weekend,MetroTrain,249600
23,2018,1,Jan,Sunday,Weekend,RegionalBus,8600
24,2018,1,Jan,Sunday,Weekend,RegionalTrain,18350
25,2018,1,Jan,Sunday,Weekend,Tram,325900
26,2018,1,Jan,Thursday,School Holiday Weekday,MetroBus,298100
27,2018,1,Jan,Thursday,School Holiday Weekday,MetroTrain,617350
28,2018,1,Jan,Thursday,School Holiday Weekday,RegionalBus,24400
29,2018,1,Jan,Thursday,School Holiday Weekday,RegionalTrain,47450
30,2018,1,Jan,Thursday,School Holiday Weekday,Tram,563600
31,2018,1,Jan,Tuesday,Normal Weekday,MetroBus,359800
32,2018,1,Jan,Tuesday,Normal Weekday,MetroTrain,729400
33,2018,1,Jan,Tuesday,Normal Weekday,RegionalBus,26950
34,2018,1,Jan,Tuesday,Normal Weekday,RegionalTrain,52550
35,2018,1,Jan,Tuesday,Normal Weekday,Tram,610600
36,2018,1,Jan,Tuesday,School Holiday Weekday,MetroBus,295500
37,2018,1,Jan,Tuesday,School Holiday Weekday,MetroTrain,618050
38,2018,1,Jan,Tuesday,School Holiday Weekday,RegionalBus,23300
39,2018,1,Jan,Tuesday,School Holiday Weekday,RegionalTrain,48050
40,2018,1,Jan,Tuesday,School Holiday Weekday,Tram,558300
41,2018,1,Jan,Wednesday,Normal Weekday,MetroBus,400250
42,2018,1,Jan,Wednesday,Normal Weekday,MetroTrain,716600
43,2018,1,Jan,Wednesday,Normal Weekday,RegionalBus,31300
44,2018,1,Jan,Wednesday,Normal Weekday,RegionalTrain,48600
45,2018,1,Jan,Wednesday,Normal Weekday,Tram,611100
46,2018,1,Jan,Wednesday,School Holiday Weekday,MetroBus,299950
47,2018,1,Jan,Wednesday,School Holiday Weekday,MetroTrain,630400
48,2018,1,Jan,Wednesday,School Holiday Weekday,RegionalBus,24400
49,2018,1,Jan,Wednesday,School Holiday Weekday,RegionalTrain,48750
50,2018,1,Jan,Wednesday,School Holiday Weekday,Tram,570050
51,2018,2,Feb,Friday,Normal Weekday,MetroBus,449650
52,2018,2,Feb,Friday,Normal Weekday,MetroTrain,784400
53,2018,2,Feb,Friday,Normal Weekday,RegionalBus,39800
54,2018,2,Feb,Friday,Normal Weekday,RegionalTrain,54050
55,2018,2,Feb,Friday,Normal Weekday,Tram,691500
56,2018,2,Feb,Monday,Normal Weekday,MetroBus,462750
57,2018,2,Feb,Monday,Normal Weekday,MetroTrain,770350
58,2018,2,Feb,Monday,Normal Weekday,RegionalBus,40150
59,2018,2,Feb,Monday,Normal Weekday,RegionalTrain,52950
60,2018,2,Feb,Monday,Normal Weekday,Tram,657250
61,2018,2,Feb,Saturday,Weekend,MetroBus,186950
62,2018,2,Feb,Saturday,Weekend,MetroTrain,428750
63,2018,2,Feb,Saturday,Weekend,RegionalBus,15700
64,2018,2,Feb,Saturday,Weekend,RegionalTrain,26000
65,2018,2,Feb,Saturday,Weekend,Tram,469550
66,2018,2,Feb,Sunday,Weekend,MetroBus,117350
