_id,Year,Month,Month_name,Day_of_week,Day_type,Mode,Pax_daily
5,2018,1,Jan,Friday,School Holiday Weekday,Tram,529250
10,2018,1,Jan,Monday,Normal Weekday,Tram,534800
15,2018,1,Jan,Monday,School Holiday Weekday,Tram,562150
20,2018,1,Jan,Saturday,Weekend,Tram,393050
25,2018,1,Jan,Sunday,Weekend,Tram,325900
30,2018,1,Jan,Thursday,School Holiday Weekday,Tram,563600
35,2018,1,Jan,Tuesday,Normal Weekday,Tram,610600
40,2018,1,Jan,Tuesday,School Holiday Weekday,Tram,558300
45,2018,1,Jan,Wednesday,Normal Weekday,Tram,611100
50,2018,1,Jan,Wednesday,School Holiday Weekday,Tram,570050
55,2018,2,Feb,Friday,Normal Weekday,Tram,691500
60,2018,2,Feb,Monday,Normal Weekday,Tram,657250
65,2018,2,Feb,Saturday,Weekend,Tram,469550
70,2018,2,Feb,Sunday,Weekend,Tram,375550
75,2018,2,Feb,Thursday,Normal Weekday,Tram,672900
80,2018,2,Feb,Tuesday,Normal Weekday,Tram,686050
85,2018,2,Feb,Wednesday,Normal Weekday,Tram,692450
90,2018,3,Mar,Friday,Normal Weekday,Tram,792550
95,2018,3,Mar,Monday,Normal Weekday,Tram,718900
100,2018,3,Mar,Saturday,Weekend,Tram,493250
105,2018,3,Mar,Sunday,Weekend,Tram,377700
110,2018,3,Mar,Thursday,Normal Weekday,Tram,766750
115,2018,3,Mar,Tuesday,Normal Weekday,Tram,748800
120,2018,3,Mar,Wednesday,Normal Weekday,Tram,757900
125,2018,4,Apr,Friday,Normal Weekday,Tram,731500
130,2018,4,Apr,Friday,School Holiday Weekday,Tram,652150
135,2018,4,Apr,Monday,Normal Weekday,Tram,639350
140,2018,4,Apr,Monday,School Holiday Weekday,Tram,611850
145,2018,4,Apr,Saturday,Weekend,Tram,457600
150,2018,4,Apr,Sunday,Weekend,Tram,360450
155,2018,4,Apr,Thursday,Normal Weekday,Tram,715450
160,2018,4,Apr,Thursday,School Holiday Weekday,Tram,650600
165,2018,4,Apr,Tuesday,Normal Weekday,Tram,684300
170,2018,4,Apr,Tuesday,School Holiday Weekday,Tram,619750
175,2018,4,Apr,Wednesday,Normal Weekday,Tram,702850
180,2018,4,Apr,Wednesday,School Holiday Weekday,Tram,646200
185,2018,5,May,Friday,Normal Weekday,Tram,652250
190,2018,5,May,Monday,Normal Weekday,Tram,597750
195,2018,5,May,Saturday,Weekend,Tram,449850
200,2018,5,May,Sunday,Weekend,Tram,326350
205,2018,5,May,Thursday,Normal Weekday,Tram,647850
210,2018,5,May,Tuesday,Normal Weekday,Tram,630450
215,2018,5,May,Wednesday,Normal Weekday,Tram,639050
220,2018,6,Jun,Friday,Normal Weekday,Tram,628200
225,2018,6,Jun,Monday,Normal Weekday,Tram,585250
230,2018,6,Jun,Saturday,Weekend,Tram,406900
235,2018,6,Jun,Sunday,Weekend,Tram,294400
240,2018,6,Jun,Thursday,Normal Weekday,Tram,624850
245,2018,6,Jun,Tuesday,Normal Weekday,Tram,610350
250,2018,6,Jun,Wednesday,Normal Weekday,Tram,623650
255,2018,7,Jul,Friday,Normal Weekday,Tram,685200
260,2018,7,Jul,Friday,School Holiday Weekday,Tram,634650
265,2018,7,Jul,Monday,Normal Weekday,Tram,622050
270,2018,7,Jul,Monday,School Holiday Weekday,Tram,577400
275,2018,7,Jul,Saturday,Weekend,Tram,424450
280,2018,7,Jul,Sunday,Weekend,Tram,319650
285,2018,7,Jul,Thursday,Normal Weekday,Tram,660750
290,2018,7,Jul,Thursday,School Holiday Weekday,Tram,617200
295,2018,7,Jul,Tuesday,Normal Weekday,Tram,635850
300,2018,7,Jul,Tuesday,School Holiday Weekday,Tram,609650
305,2018,7,Jul,Wednesday,Normal Weekday,Tram,657200
310,2018,7,Jul,Wednesday,School Holiday Weekday,Tram,607700
315,2018,8,Aug,Friday,Normal Weekday,Tram,689300
320,2018,8,Aug,Monday,Normal Weekday,Tram,634900
325,2018,8,Aug,Saturday,Weekend,Tram,435900
330,2018,8,Aug,Sunday,Weekend,Tram,338350
335,2018,8,Aug,Thursday,Normal Weekday,Tram,668700
340,2018,8,Aug,Tuesday,Normal Weekday,Tram,656900
345,2018,8,Aug,Wednesday,Normal Weekday,Tram,672250
350,2018,9,Sep,Friday,Normal Weekday,Tram,653350
355,2018,9,Sep,Monday,Normal Weekday,Tram,588000
360,2018,9,Sep,Monday,School Holiday Weekday,Tram,581500
365,2018,9,Sep,Saturday,Weekend,Tram,423450
370,2018,9,Sep,Sunday,Weekend,Tram,325150
375,2018,9,Sep,Thursday,Normal Weekday,Tram,622100
380,2018,9,Sep,Thursday,School Holiday Weekday,Tram,666100
385,2018,9,Sep,Tuesday,Normal Weekday,Tram,611650
390,2018,9,Sep,Tuesday,School Holiday Weekday,Tram,620850
