type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/theme,properties/sub_theme,properties/feature_name,properties/longitude,properties/latitude
Feature,Point,144.961967841559,-37.7840864379557,Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,,
Feature,Point,144.969406272035,-37.8020953835112,Education Centre,Primary Schools,Carlton Gardens Primary School,,
Feature,Point,144.974107925144,-37.8255239795833,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,,
Feature,Point,144.976285045233,-37.8342561018747,Education Centre,Secondary Schools,Melbourne Grammar School,,
Feature,Point,144.965989052839,-37.8202245786597,Mixed Use,Retail/Office/Carpark,Southgate Arts and Leisure Precinct,,
Feature,Point,144.967252924593,-37.8266045432686,Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,,
Feature,Point,144.968740597156,-37.8176921210305,Office,Office,SBS (Special Broadcasting Service),,
Feature,Point,144.968963600783,-37.8178516571684,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,,
Feature,Point,144.954897253856,-37.7988892460088,Health Services,Public Hospital,Royal Womens Hospital,,
Feature,Point,144.925837749713,-37.7997270537735,Transport,Railway Station,South Kensington Railway Station,,
Feature,Point,144.984669809381,-37.8189544909462,Place Of Assembly,Art Gallery/Museum,National Sports Museum,,
Feature,Point,144.954696055235,-37.8111222889277,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens,,
Feature,Point,144.951065772876,-37.7986737155551,Education Centre,Primary Schools,North Melbourne Primary School,,
Feature,Point,144.908824792698,-37.8314918578874,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Westgate Park,,
Feature,Point,144.953761537074,-37.8031663672997,Place of Worship,Church,St Mary's Anglican Church,,
Feature,Point,144.956318211113,-37.8122356514626,Transport,Railway Station,Flagstaff Railway Station,,
Feature,Point,144.922972125346,-37.7878473341234,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Newmarket Reserve,,
Feature,Point,144.923837074813,-37.7982358832177,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),J.J Holland Park,,
Feature,Point,144.950048264678,-37.7942060847278,Health Services,Public Hospital,Royal Childrens Hospital,,
Feature,Point,144.915607065132,-37.7948375315825,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,,
Feature,Point,144.980455714669,-37.8129616331579,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fitzroy Gardens,,
Feature,Point,144.977400949063,-37.8114766732026,Health Services,Public Hospital,Peter Maccallum Cancer Institute,,
Feature,Point,144.967291289941,-37.8148855756416,Place Of Assembly,Library,The Melbourne Athenaeum Library,,
Feature,Point,144.966986444597,-37.8052307297468,Place of Worship,Church,Romanian Orthodox,,
Feature,Point,144.945399480629,-37.7940512679297,Place of Worship,Church,St Michaels,,
Feature,Point,144.944313454028,-37.7963084580345,Place of Worship,Church,Ukranian Catholic Cathedral,,
Feature,Point,144.986009385387,-37.8386270533576,Place of Worship,Church,The Parish of Christ Church South Yarra,,
Feature,Point,144.957158515056,-37.8075002018073,Retail,Retail,Queen Victoria Market,,
Feature,Point,144.964330322397,-37.8099852201226,Community Use,Public Buildings,State Library Victoria,,
Feature,Point,144.967916735261,-37.8160014744179,Place Of Assembly,Theatre Live,Regent Theatre,,
Feature,Point,144.974423610255,-37.8132371662585,Office,Office,Old Treasury Building,,
Feature,Point,144.957894024264,-37.8141494182814,Community Use,Public Buildings,Supreme Court,,
Feature,Point,144.988156318781,-37.8216740022008,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Richmond Football Club,,
Feature,Point,144.952288281644,-37.8249040484653,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,,
Feature,Point,144.913415802464,-37.8292844929826,Leisure/Recreation,Private Sports Club/Facility,Melbourne International Shooting Club,,
Feature,Point,144.957312880653,-37.8235761092516,Purpose Built,Casino,Crown Entertainment Complex,,
Feature,Point,144.927108735461,-37.7925235045455,Education Centre,Primary Schools,Kensington Primary School,,
Feature,Point,144.948496661709,-37.8213744301481,Place Of Assembly,Art Gallery/Museum,Fox Classic Car Collection,,
Feature,Point,144.961673719242,-37.8161580666029,Mixed Use,Retail/Office/Carpark,ANZ 'Gothic' Bank,,
Feature,Point,144.951378883631,-37.8211371302179,Vacant Land,Current Construction Site - Commercial,Railway Good Shed No 2,,
Feature,Point,144.973017263156,-37.8116061787171,Transport,Railway Station,Parliament Railway Station,,
Feature,Point,144.941452061463,-37.7988345257153,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),North Melbourne Recreation Reserve,,
Feature,Point,144.961115214367,-37.7870161727156,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park,,
Feature,Point,144.965169035668,-37.8248231859563,Office,Office,Donor Tissue Bank of Victoria,,
Feature,Point,144.963789344893,-37.8100167030855,Transport,Railway Station,Melbourne Central Railway Station,,
Feature,Point,144.965761295089,-37.8031480577285,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Argyle Square,,
Feature,Point,144.979720306309,-37.8242456858593,Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,,
Feature,Point,144.985089428348,-37.8315364518803,Education Centre,School - Primary and Secondary Education,Melbourne Girls Grammar School,,
Feature,Point,144.984435746587,-37.811896809802,Health Services,Medical Services,Mercy Private Hospital,,
Feature,Point,144.954862000132,-37.8169741358546,Place of Worship,Church,St Augustines Church,,
Feature,Point,144.984664890999,-37.8114487773394,Place of Worship,Church,Melbourne Unitarian Church,,
Feature,Point,144.969334720932,-37.8025766539683,Place of Worship,Church,Our Lady of Lebanon Church,,
Feature,Point,144.94161451392,-37.7942169477929,Place of Worship,Church,St Alban Anglican Church,,
Feature,Point,144.968337832721,-37.8218124583016,Place Of Assembly,Theatre Live,Playhouse,,
Feature,Point,144.968837288153,-37.8219947335768,Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,,
Feature,Point,144.976268275082,-37.8087522829868,Health Services,Public Hospital,The Royal Victorian Eye & Ear Hospital,,
Feature,Point,144.943475014215,-37.8165177307702,Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,,
Feature,Point,144.969342535451,-37.8230135000869,Community Use,Public Buildings,NGV International,,
Feature,Point,144.936190756632,-37.794964001386,Transport,Railway Station,Macaulay Railway Station (North Melbourne) - Train stop,,
Feature,Point,144.930710207518,-37.7939140126373,Transport,Railway Station,Kensington Railway Station,,
Feature,Point,144.980850432751,-37.8306631583233,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,,
Feature,Point,144.96447462898,-37.8243437355246,Office,Office,Coronial Services Centre of Victoria,,
Feature,Point,144.989062559512,-37.81299206932,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Darling Square,,
Feature,Point,144.930613255612,-37.8083471006041,Warehouse/Store,Store Yard,Melbourne Wholesale Fish Market,,
Feature,Point,144.964156669702,-37.7973939595503,Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,,
Feature,Point,144.96099520158,-37.7982892284927,Education Centre,Tertiary (University),University of Melbourne,,
Feature,Point,144.965714574014,-37.8106891897454,Mixed Use,Retail/Office/Residential/Carpark,QV Village,,
Feature,Point,144.973462202839,-37.809852620638,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parliament Reserve,,
